club_name,name,age,position,club_involved,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Manchester City,Riyad Mahrez,27,Right Winger,Leicester,£61.02m,in,Summer,61.02,Premier League,2018,2018/2019
Manchester City,Philippe Sandler,21,Centre-Back,PEC Zwolle,£2.25m,in,Summer,2.25,Premier League,2018,2018/2019
Manchester City,Daniel Arzani,19,Left Winger,Melbourne City,£801Th.,in,Summer,0.801,Premier League,2018,2018/2019
Manchester City,Tosin Adarabioyo,21,Centre-Back,West Brom,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Manchester City,Arijanet Muric,19,Goalkeeper,Man City U23,-,in,Summer,0,Premier League,2018,2018/2019
Manchester City,Manu Garci≠a,20,Attacking Midfield,Man City U23,-,in,Summer,0,Premier League,2018,2018/2019
Manchester City,Arijanet Muric,19,Goalkeeper,NAC Breda,"End of loanAug 22, 2018",in,Summer,0,Premier League,2018,2018/2019
Manchester City,Pablo Mari≠,24,Centre-Back,NAC Breda,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Manchester City,Anthony Ci°ceres,25,Central Midfield,Al-Wasl,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Manchester City,Pablo Maffeo,20,Right-Back,Girona,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Manchester City,Luka Ilic,18,Attacking Midfield,Red Star,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Manchester City,Jason Denayer,23,Centre-Back,Galatasaray,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Manchester City,Olarenwaju Kayode,25,Centre-Forward,Shakhtar D.,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Manchester United,Fred,25,Central Midfield,Shakhtar D.,£53.10m,in,Summer,53.1,Premier League,2018,2018/2019
Manchester United,Diogo Dalot,19,Right-Back,FC Porto,£19.80m,in,Summer,19.8,Premier League,2018,2018/2019
Manchester United,Lee Grant,35,Goalkeeper,Stoke City,£1.53m,in,Summer,1.53,Premier League,2018,2018/2019
Manchester United,Cameron Borthwick-Jackson,22,Left-Back,Scunthorpe Utd.,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Manchester United,Axel Tuanzebe,21,Centre-Back,Aston Villa,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Manchester United,Timothy Fosu-Mensah,21,Right-Back,Fulham,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Manchester United,James Wilson,23,Centre-Forward,Aberdeen FC,"End of loanMay 20, 2019",in,Summer,0,Premier League,2018,2018/2019
Manchester United,Andreas Pereira,22,Attacking Midfield,Valencia,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Tottenham Hotspur,Josh Onomah,22,Attacking Midfield,Sheff Wed,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Tottenham Hotspur,Cameron Carter-Vickers,21,Centre-Back,Swansea,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Tottenham Hotspur,Oliver Skipp,17,Defensive Midfield,Tottenham U23,-,in,Summer,0,Premier League,2018,2018/2019
Tottenham Hotspur,Vincent Janssen,24,Centre-Forward,Fenerbahce,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,Alisson,25,Goalkeeper,AS Roma,£56.25m,in,Summer,56.25,Premier League,2018,2018/2019
Liverpool FC,Naby KeiØta,23,Central Midfield,RB Leipzig,£54.00m,in,Summer,54,Premier League,2018,2018/2019
Liverpool FC,Fabinho,24,Defensive Midfield,Monaco,£40.50m,in,Summer,40.5,Premier League,2018,2018/2019
Liverpool FC,Xherdan Shaqiri,26,Right Winger,Stoke City,£13.23m,in,Summer,13.23,Premier League,2018,2018/2019
Liverpool FC,Ryan Kent,21,Left Winger,Liverpool U23,-,in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,Harry Wilson,21,Right Winger,Liverpool U23,-,in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,¡d·m Bogd·n,31,Goalkeeper,Hibernian FC,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,Ovie Ejaria,21,Central Midfield,Reading,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,Nathaniel Clyne,28,Right-Back,Bournemouth,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,Ryan Kent,22,Left Winger,Rangers,"End of loanMay 20, 2019",in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,Harry Wilson,22,Right Winger,Derby,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,Rhian Brewster,18,Centre-Forward,Liverpool U23,-,in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,Taiwo Awoniyi,20,Centre-Forward,Mouscron,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,Divock Origi,23,Centre-Forward,VfL Wolfsburg,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Liverpool FC,Lazar Markovic,24,Right Winger,RSC Anderlecht,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Kepa,23,Goalkeeper,Athletic,£72.00m,in,Summer,72,Premier League,2018,2018/2019
Chelsea FC,Jorginho,26,Defensive Midfield,SSC Napoli,£51.30m,in,Summer,51.3,Premier League,2018,2018/2019
Chelsea FC,Rob Green,38,Goalkeeper,Huddersfield,Free transfer,in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Mateo Kovacic,24,Central Midfield,Real Madrid,Loan,in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Todd Kane,25,Right-Back,Hull City,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Fikayo Tomori,21,Centre-Back,Derby,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Kurt Zouma,24,Centre-Back,Everton,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Tomas Kalas,26,Centre-Back,Bristol City,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Michael Hector,26,Centre-Back,Sheff Wed,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Tammy Abraham,21,Centre-Forward,Aston Villa,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Lewis Baker,24,Central Midfield,Reading,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Matt Miazga,23,Centre-Back,Reading,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Marco van Ginkel,25,Central Midfield,PSV Eindhoven,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Mario Pasalic,23,Central Midfield,Spartak Moscow,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Matt Miazga,22,Centre-Back,Vitesse,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Kenneth Omeruo,24,Centre-Back,Kasimpasa,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Nathan,22,Left Winger,Belenenses SAD,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Chelsea FC,Michy Batshuayi,24,Centre-Forward,Bor. Dortmund,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Arsenal FC,Lucas Torreira,22,Defensive Midfield,Sampdoria,£25.79m,in,Summer,25.79,Premier League,2018,2018/2019
Arsenal FC,Bernd Leno,26,Goalkeeper,Bay. Leverkusen,£22.50m,in,Summer,22.5,Premier League,2018,2018/2019
Arsenal FC,Sokratis,30,Centre-Back,Bor. Dortmund,£14.40m,in,Summer,14.4,Premier League,2018,2018/2019
Arsenal FC,Matteo Guendouzi,19,Central Midfield,FC Lorient,£7.20m,in,Summer,7.2,Premier League,2018,2018/2019
Arsenal FC,Stephan Lichtsteiner,34,Right-Back,Juventus,Free transfer,in,Summer,0,Premier League,2018,2018/2019
Arsenal FC,Matt Macey,24,Goalkeeper,Plymouth,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Arsenal FC,Calum Chambers,24,Centre-Back,Fulham,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Arsenal FC,Krystian Bielik,21,Defensive Midfield,Charlton,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Arsenal FC,Emiliano Marti≠nez,26,Goalkeeper,Reading,"End of loanMay 31, 2019",in,Summer,0,Premier League,2018,2018/2019
Arsenal FC,Takuma Asano,23,Left Winger,VfB Stuttgart,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Arsenal FC,Emiliano Marti≠nez,25,Goalkeeper,Getafe,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Arsenal FC,Lucas Perez,29,Centre-Forward,Dep. La Coru√±a,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Arsenal FC,Joel Campbell,26,Right Winger,Real Betis,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Arsenal FC,Chuba Akpom,22,Centre-Forward,Sint-Truiden,"End of loanJun 30, 2018",in,Summer,0,Premier League,2018,2018/2019
Burnley FC,Ben Gibson,25,Centre-Back,Middlesbrough,£15.21m,in,Summer,15.21,Premier League,2018,2018/2019
Burnley FC,Matej Vydra,26,Centre-Forward,Derby,£10.98m,in,Summer,10.98,Premier League,2018,2018/2019
Burnley FC,Joe Hart,31,Goalkeeper,Man City,£3.51m,in,Summer,3.51,Premier League,2018,2018/2019
