club_name,name,age,position,club_involved,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Manchester City,Rodri,23,Defensive Midfield,Atletico Madrid,-£63.00m,in,Summer,63,Premier League,2019,2019/2020
Manchester City,Joi£o Cancelo,25,Right-Back,Juventus,-£58.50m,in,Summer,58.5,Premier League,2019,2019/2020
Manchester City,Angelii±o,22,Left-Back,PSV Eindhoven,-£10.80m,in,Summer,10.8,Premier League,2019,2019/2020
Manchester City,Pedro Porro,19,Right-Back,Girona,-£10.80m,in,Summer,10.8,Premier League,2019,2019/2020
Manchester City,Zack Steffen,24,Goalkeeper,Columbus Crew,-£6.14m,in,Summer,6.14,Premier League,2019,2019/2020
Manchester City,Ryotaro Meshino,21,Attacking Midfield,Gamba Osaka,-£900Th.,in,Summer,0.9,Premier League,2019,2019/2020
Manchester City,Scott Carson,33,Goalkeeper,Derby,#NAME?,in,Summer,0,Premier League,2019,2019/2020
Manchester City,Arijanet Muric,21,Goalkeeper,Nottm Forest,"-End of loanMay 31, 2020",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Ryotaro Meshino,21,Attacking Midfield,Heart of Midl.,"-End of loanMay 31, 2020",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Ante Palaversa,19,Defensive Midfield,Hajduk Split,"-End of loanJul 2, 2019",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Eric Garci≠a,18,Centre-Back,Man City U23,--,in,Summer,0,Premier League,2019,2019/2020
Manchester City,Luke Brattan,29,Defensive Midfield,Melbourne City,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Aleix Garci≠a,22,Central Midfield,Girona,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Pablo Mari≠,25,Centre-Back,Dep. La Coru√±a,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Manu Garci≠a,21,Attacking Midfield,Toulouse,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Patrick Roberts,22,Right Winger,Girona,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Douglas Luiz,21,Defensive Midfield,Girona,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Anthony Ci°ceres,26,Central Midfield,Sydney FC,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Yangel Herrera,21,Defensive Midfield,SD Huesca,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Manchester City,Marlos Moreno,22,Left Winger,Santos Laguna,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Liverpool FC,Sepp van den Berg,17,Centre-Back,PEC Zwolle,-£1.71m,in,Summer,1.71,Premier League,2019,2019/2020
Liverpool FC,Andy Lonergan,35,Goalkeeper,Middlesbrough,#NAME?,in,Summer,0,Premier League,2019,2019/2020
Liverpool FC,Adrii°n,32,Goalkeeper,West Ham,#NAME?,in,Summer,0,Premier League,2019,2019/2020
Liverpool FC,Loris Karius,26,Goalkeeper,Besiktas,"-End of loanMay 4, 2020",in,Summer,0,Premier League,2019,2019/2020
Liverpool FC,Sheyi Ojo,22,Right Winger,Rangers,"-End of loanMay 31, 2020",in,Summer,0,Premier League,2019,2019/2020
Liverpool FC,Caoimhin Kelleher,20,Goalkeeper,Liverpool U23,--,in,Summer,0,Premier League,2019,2019/2020
Liverpool FC,Danny Ings,26,Centre-Forward,Southampton,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Liverpool FC,Marko Grujic,23,Central Midfield,Hertha BSC,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Liverpool FC,Sheyi Ojo,22,Right Winger,Stade Reims,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Liverpool FC,Taiwo Awoniyi,21,Centre-Forward,Mouscron,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Chelsea FC,Mateo Kovacic,25,Central Midfield,Real Madrid,-£40.50m,in,Summer,40.5,Premier League,2019,2019/2020
Chelsea FC,Jamal Blackman,26,Goalkeeper,Bristol Rovers,"-End of loanMay 31, 2020",in,Summer,0,Premier League,2019,2019/2020
Chelsea FC,Mason Mount,20,Attacking Midfield,Chelsea U23,--,in,Summer,0,Premier League,2019,2019/2020
Chelsea FC,Reece James,19,Right-Back,Chelsea U23,--,in,Summer,0,Premier League,2019,2019/2020
Chelsea FC,Jamie Cumming,19,Goalkeeper,Chelsea U23,--,in,Summer,0,Premier League,2019,2019/2020
Chelsea FC,Danilo Pantic,22,Central Midfield,Partizan,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Chelsea FC,Lucas Piazi≥n,25,Left Winger,Chievo Verona,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
Chelsea FC,Abdul Rahman Baba,24,Left-Back,Stade Reims,"-End of loanJun 30, 2019",in,Summer,0,Premier League,2019,2019/2020
